# ID_REF	IDENTIFIER	Gene title	Gene symbol	Gene ID	GenBank Accession
1063_s_at	TYRO3	TYRO3 protein tyrosine kinase	TYRO3	7301	U02566
1064_at	TWF1	twinfilin actin binding protein 1	TWF1	5756	U02680
1065_at	FLT3	fms related tyrosine kinase 3	FLT3	2322	U02687
1066_at	IL12RB1	interleukin 12 receptor subunit beta 1	IL12RB1	3594	U03187
1067_at	FLT3LG	fms related tyrosine kinase 3 ligand	FLT3LG	2323	U03858
1068_g_at	FLT3LG	fms related tyrosine kinase 3 ligand	FLT3LG	2323	U03858
1069_at	PTGS2	prostaglandin-endoperoxide synthase 2	PTGS2	5743	U04636
106_at	RUNX3	runt related transcription factor 3	RUNX3	864	Z35278
1070_at	GTF2B	general transcription factor IIB	GTF2B	2959	M76766
1071_at	GATA2	GATA binding protein 2	GATA2	2624	M77810
1072_g_at	GATA2	GATA binding protein 2	GATA2	2624	M77810
1073_at	TCEA1	transcription elongation factor A1	TCEA1	6917	M81601
1074_at	RAB1A	RAB1A, member RAS oncogene family	RAB1A	5861	M28209
1075_f_at	IFNA16	interferon alpha 16	IFNA16	3449	M28585
1076_at	IL1A	interleukin 1 alpha	IL1A	3552	M28983
1077_at	RAG1	recombination activating gene 1	RAG1	5896	M29474
1078_at	PRLR	prolactin receptor	PRLR	5618	M31661
1079_g_at	PRLR	prolactin receptor	PRLR	5618	M31661
107_at	RAB40AL	RAB40A, member RAS oncogene family-like	RAB40AL	282808	
1080_s_at	CYP1A2	cytochrome P450 family 1 subfamily A member 2	CYP1A2	1544	AH002667
1081_at	ODC1	ornithine decarboxylase 1	ODC1	4953	M33764
1082_at	PLCG1	phospholipase C gamma 1	PLCG1	5335	M34667
1083_s_at	MUC1	mucin 1, cell surface associated	MUC1	4582	M35093
1084_at	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	27	M35296
1085_s_at	PLCG2	phospholipase C gamma 2	PLCG2	5336	M37238
1086_at	CSF2RB	colony stimulating factor 2 receptor beta common subunit	CSF2RB	1439	M59941
1087_at	EPOR	erythropoietin receptor	EPOR	2057	M60459
1088_at	BDNF	brain derived neurotrophic factor	BDNF	627	M61176
1089_i_at	M64936				M64936
108_g_at	RAB40AL	RAB40A, member RAS oncogene family-like///RAB40A, member RAS oncogene family///RAB40B, member RAS oncogene family	RAB40AL///RAB40A///RAB40B	282808///142684///10966	
1090_f_at	M64936				M64936
1091_at	PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta	PRKAR1B	5575	M65066
1092_at	EDN2	endothelin 2	EDN2	1907	M65199
1093_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	PPP2R1B	5519	M65254
1094_g_at	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta	PPP2R1B	5519	M65254
1095_s_at	HGF	hepatocyte growth factor	HGF	3082	M73239
1096_g_at	CD19	CD19 molecule	CD19	930	M28170
1097_s_at	CCR7	C-C motif chemokine receptor 7	CCR7	1236	L31584
1098_at	THPO	thrombopoietin	THPO	7066	L36051
1099_s_at	GSTT2B	glutathione S-transferase theta 2B (gene/pseudogene)///glutathione S-transferase theta 2 (gene/pseudogene)	GSTT2B///GSTT2	653689///2953	L38503
109_at	RABEPK	Rab9 effector protein with kelch motifs	RABEPK	10244	Z97074
1100_at	IRAK1	interleukin 1 receptor associated kinase 1	IRAK1	3654	L76191
1101_at	APBB1	amyloid beta precursor protein binding family B member 1	APBB1	322	L77864
1102_s_at	NR3C1	nuclear receptor subfamily 3 group C member 1	NR3C1	2908	X03225
1103_at	ANG	angiogenin	ANG	283	M11567
1104_s_at	HSPA1L	heat shock protein family A (Hsp70) member 1 like///heat shock protein family A (Hsp70) member 1B///heat shock protein family A (Hsp70) member 1A	HSPA1L///HSPA1B///HSPA1A	3305///3304///3303	M11717
1105_s_at	IL23A	interleukin 23 subunit alpha	IL23A	51561	M12886
1106_s_at	TRAC	T-cell receptor alpha constant///T cell receptor alpha joining 17///T cell receptor alpha variable 20///T cell receptor delta variable 2	TRAC///TRAJ17///TRAV20///TRDV2	28755///28738///28663///28517	X02592
1107_s_at	ISG15	ISG15 ubiquitin-like modifier	ISG15	9636	M13755
1108_s_at	EPHA1	EPH receptor A1	EPHA1	2041	M18391
1109_s_at	PDGFA	platelet derived growth factor subunit A	PDGFA	5154	M19989
110_at	CSPG4	chondroitin sulfate proteoglycan 4	CSPG4	1464	X96753
1110_at	YME1L1	YME1 like 1 ATPase	YME1L1	10730	M21624
1111_at	NCAM1	neural cell adhesion molecule 1	NCAM1	4684	AH002911
1112_g_at	NCAM1	neural cell adhesion molecule 1	NCAM1	4684	AH002911
1113_at	BMP2	bone morphogenetic protein 2	BMP2	650	M22489
1114_at	BMP4	bone morphogenetic protein 4	BMP4	652	M22490
1115_at	PF4	platelet factor 4	PF4	5196	M25897
1116_at	M28170				M28170
1117_at	CDA	cytidine deaminase	CDA	978	L27943
1118_at	PTGER4	prostaglandin E receptor 4	PTGER4	5734	L28175
1119_at	RPA2	replication protein A2	RPA2	6118	J05249
111_at	RABGGTA	Rab geranylgeranyltransferase alpha subunit	RABGGTA	5875	Y08200
1120_at	GSTM3	glutathione S-transferase mu 3	GSTM3	2947	J05459
1121_g_at	GSTM3	glutathione S-transferase mu 3	GSTM3	2947	J05459
1122_f_at	CGB2	chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///chorionic gonadotropin beta subunit 3	CGB2///CGB1///CGB8///CGB7///CGB5///CGB3	114336///114335///94115///94027///93659///1082	AH002753
1123_at	GHRHR	growth hormone releasing hormone receptor	GHRHR	2692	L01406
1124_at	KMT2A	lysine methyltransferase 2A	KMT2A	4297	L04731
1125_s_at	CD44	CD44 molecule (Indian blood group)	CD44	960	L05424
1126_s_at	CD44	CD44 molecule (Indian blood group)	CD44	960	L05424
1127_at	RPS6KA1	ribosomal protein S6 kinase A1	RPS6KA1	6195	L07597
1128_s_at	CCR1	C-C motif chemokine receptor 1	CCR1	1230	L09230
1129_at	GBX1	gastrulation brain homeobox 1	GBX1	2636	L11239
112_g_at	TAF1	TATA-box binding protein associated factor 1	TAF1	6872	X07024
1130_at	MAP2K1	mitogen-activated protein kinase kinase 1	MAP2K1	5604	L11284
1131_at	MAP2K2	mitogen-activated protein kinase kinase 2	MAP2K2	5605	L11285
1132_s_at	RARG	retinoic acid receptor gamma	RARG	5916	L12060
1133_at	EN2	engrailed homeobox 2	EN2	2020	AH002767
1134_at	TNK2	tyrosine kinase non receptor 2	TNK2	10188	L13738
1135_at	GRK5	G protein-coupled receptor kinase 5	GRK5	2869	L15388
1136_at	DTYMK	deoxythymidylate kinase	DTYMK	1841	L16991
1137_at	SLC20A2	solute carrier family 20 member 2	SLC20A2	6575	L20852
1138_at	SLC20A1	solute carrier family 20 member 1	SLC20A1	6574	L20859
1139_at	GNA13	G protein subunit alpha 13	GNA13	10672	L22075
113_i_at	MAPT	microtubule associated protein tau	MAPT	4137	X14474
1140_at	ITGAE	integrin subunit alpha E	ITGAE	3682	L25851
1141_at	MC5R	melanocortin 5 receptor	MC5R	4161	L27080
1142_at	TIGR: HG3432-HT3618				
1143_s_at	FGFR2	fibroblast growth factor receptor 2	FGFR2	2263	
1144_at	FGFR2	fibroblast growth factor receptor 2	FGFR2	2263	
1145_g_at	FGFR2	fibroblast growth factor receptor 2	FGFR2	2263	
1146_at	CD4	CD4 molecule	CD4	920	
1147_at	NR2F1	nuclear receptor subfamily 2 group F member 1	NR2F1	7025	
1148_s_at	NRG1	neuregulin 1	NRG1	3084	
1149_at	TFEB	transcription factor EB	TFEB	7942	
114_r_at	MAPT	microtubule associated protein tau	MAPT	4137	X14474
1150_at	PTPRE	protein tyrosine phosphatase, receptor type E	PTPRE	5791	
1151_at	RPL22	ribosomal protein L22	RPL22	6146	
1152_i_at	CGB2	chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///chorionic gonadotropin beta subunit 3	CGB2///CGB1///CGB8///CGB7///CGB5///CGB3	114336///114335///94115///94027///93659///1082	J00117
1153_f_at	CGB2	chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///chorionic gonadotropin beta subunit 3	CGB2///CGB1///CGB8///CGB7///CGB5///CGB3	114336///114335///94115///94027///93659///1082	J00117
1154_at	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha	EIF2S1	1965	J02645
1155_at	MYCLP1	MYCL pseudogene 1	MYCLP1	4611	J03069
1156_at	SP1	Sp1 transcription factor	SP1	6667	J03133
1157_s_at	IFNAR1	interferon alpha and beta receptor subunit 1	IFNAR1	3454	J03171
1158_s_at	CALM3	calmodulin 3///calmodulin 2///calmodulin 1	CALM3///CALM2///CALM1	808///805///801	J04046
1159_at	IL7	interleukin 7	IL7	3574	J04156
115_at	THBS1	thrombospondin 1	THBS1	7057	X14787
1160_at	CYC1	cytochrome c1	CYC1	1537	J04444
1161_at	HSP90AB1	heat shock protein 90 alpha family class B member 1	HSP90AB1	3326	J04988
1162_g_at	GNL1	G protein nucleolar 1 (putative)	GNL1	2794	
1163_at	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	PIK3CB	5291	
1164_at	UBE2D1	ubiquitin conjugating enzyme E2 D1	UBE2D1	7321	
1165_at	IL18	interleukin 18	IL18	3606	D49950
1166_at	PSMD2	proteasome 26S subunit, non-ATPase 2	PSMD2	5708	D78151
1167_s_at	MMP15	matrix metallopeptidase 15	MMP15	4324	D86331
1168_at	PCDHB17P	protocadherin beta 17 pseudogene	PCDHB17P	54661	D88797
1169_at	PCDHGB7	protocadherin gamma subfamily B, 7	PCDHGB7	56099	D88799
116_at	PRKAR2A	protein kinase cAMP-dependent type II regulatory subunit alpha	PRKAR2A	5576	X14968
1170_at	CSF1	colony stimulating factor 1	CSF1	1435	
1171_s_at	POU2F1	POU class 2 homeobox 1	POU2F1	5451	
1172_at	SAT1	spermidine/spermine N1-acetyltransferase 1	SAT1	6303	
1173_g_at	SAT1	spermidine/spermine N1-acetyltransferase 1	SAT1	6303	
1174_at	MOS	v-mos Moloney murine sarcoma viral oncogene homolog	MOS	4342	
1175_s_at	CYP2C8	cytochrome P450 family 2 subfamily C member 8	CYP2C8	1558	
1176_at	ITGB3	integrin subunit beta 3	ITGB3	3690	
1177_at	TIGR: HG2465-HT4871				
1178_at	DHFR	dihydrofolate reductase	DHFR	1719	
1179_at	SNORD14D	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8	SNORD14D///SNORD14C///HSPA8	85390///85389///3312	
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	HSPA6	3310	X51757
1180_g_at	SNORD14D	small nucleolar RNA, C/D box 14D///small nucleolar RNA, C/D box 14C///heat shock protein family A (Hsp70) member 8	SNORD14D///SNORD14C///HSPA8	85390///85389///3312	
1181_at	GNL1	G protein nucleolar 1 (putative)	GNL1	2794	
1182_at	PLCL1	phospholipase C like 1	PLCL1	5334	D42108
1183_at	CCL17	C-C motif chemokine ligand 17	CCL17	6361	D43767
1184_at	MIR7703	microRNA 7703///proteasome activator subunit 2	MIR7703///PSME2	102465801///5721	D45248
1185_at	IL3RA	interleukin 3 receptor subunit alpha	IL3RA	3563	D49410
1186_at	GDF10	growth differentiation factor 10	GDF10	2662	D49493
1187_at	LIG3	DNA ligase 3	LIG3	3980	X84740
1188_g_at	LIG3	DNA ligase 3	LIG3	3980	X84740
1189_at	CDK8	cyclin dependent kinase 8	CDK8	1024	X85753
118_at	ITPKA	inositol-trisphosphate 3-kinase A	ITPKA	3706	X54938
1190_at	PTPRO	protein tyrosine phosphatase, receptor type O	PTPRO	5800	Z48541
1191_s_at	PSMD11	proteasome 26S subunit, non-ATPase 11	PSMD11	5717	AB003102
1192_at	PSMD12	proteasome 26S subunit, non-ATPase 12	PSMD12	5718	AB003103
1193_at	UBE3A	ubiquitin protein ligase E3A	UBE3A	7337	AF002224
1194_g_at	UBE3A	ubiquitin protein ligase E3A	UBE3A	7337	AF002224
1195_s_at	ITGB1BP1	integrin subunit beta 1 binding protein 1	ITGB1BP1	9270	AF012024
1196_at	RCC1	regulator of chromosome condensation 1	RCC1	1104	D00591
1197_at	ACTG2	actin, gamma 2, smooth muscle, enteric	ACTG2	72	D00654
1198_at	EDNRB	endothelin receptor type B	EDNRB	1910	D13168
1199_at	LOC101928634	uncharacterized LOC101928634///SENP3-EIF4A1 readthrough (NMD candidate)///small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1	LOC101928634///SENP3-EIF4A1///SNORD10///SNORA48///SNORA67///EIF4A1	101928634///100533955///652966///652965///26781///1973	D13748
1200_at	GLI2	GLI family zinc finger 2	GLI2	2736	D14827
1201_at	RAB33A	RAB33A, member RAS oncogene family	RAB33A	9363	D14889
1202_g_at	RAB33A	RAB33A, member RAS oncogene family	RAB33A	9363	D14889
1203_at	INHBA	inhibin beta A subunit	INHBA	3624	D17357
1204_at	DGKG	diacylglycerol kinase gamma	DGKG	1608	D26135
1205_at	D26528				D26528
1206_at	CDK5	cyclin dependent kinase 5	CDK5	1020	X66364
1207_at	CDK6	cyclin dependent kinase 6	CDK6	1021	X66365
1208_at	PTK6	protein tyrosine kinase 6	PTK6	5753	X78549
1209_at	TRAF6	TNF receptor associated factor 6	TRAF6	7189	U78798
120_at	ITGA1	integrin subunit alpha 1	ITGA1	3672	X68742
1210_s_at	TNFRSF25	TNF receptor superfamily member 25	TNFRSF25	8718	U83600
1211_s_at	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	CRADD	8738	U84388
1212_at	GSTZ1	glutathione S-transferase zeta 1	GSTZ1	2954	U86529
1213_at	SRPK2	SRSF protein kinase 2	SRPK2	6733	U88666
1214_s_at	IFNB1	interferon beta 1	IFNB1	3456	V00535
1217_g_at	PRKCB	protein kinase C beta	PRKCB	5579	X07109
1218_at	NR2F6	nuclear receptor subfamily 2 group F member 6	NR2F6	2063	X12794
1219_at	IRF2	interferon regulatory factor 2	IRF2	3660	X15949
121_at	PAX8	paired box 8	PAX8	7849	X69699
1220_g_at	IRF2	interferon regulatory factor 2	IRF2	3660	X15949
1221_at	RAB5B	RAB5B, member RAS oncogene family	RAB5B	5869	X54871
1222_at	CDK17	cyclin dependent kinase 17	CDK17	5128	X66360
1223_at	CDK18	cyclin dependent kinase 18	CDK18	5129	X66362
1224_at	CDK16	cyclin dependent kinase 16	CDK16	5127	X66363
1225_g_at	CDK16	cyclin dependent kinase 16	CDK16	5127	X66363
1226_at	ADAM17	ADAM metallopeptidase domain 17	ADAM17	6868	U69611
1227_g_at	ADAM17	ADAM metallopeptidase domain 17	ADAM17	6868	U69611
1228_s_at	CTAGE5	CTAGE family member 5, ER export factor	CTAGE5	4253	U73682
1229_at	MTMR11	myotubularin related protein 11	MTMR11	10903	U78556
122_at	PRIM2	primase (DNA) subunit 2	PRIM2	5558	X74331
1230_g_at	MTMR11	myotubularin related protein 11	MTMR11	10903	U78556
1231_at	UBE2B	ubiquitin conjugating enzyme E2 B	UBE2B	7320	M74525
1232_s_at	IGFBP1	insulin like growth factor binding protein 1	IGFBP1	3484	M74587
1233_s_at	AXL	AXL receptor tyrosine kinase	AXL	558	M76125
1234_at	EPHA3	EPH receptor A3	EPHA3	2042	M83941
1235_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	YWHAZ	7534	M86400
1236_s_at	NF1P9	neurofibromin 1 pseudogene 9///neurofibromin 1	NF1P9///NF1	101930150///4763	M89914
1237_at	IER3	immediate early response 3	IER3	8870	S81914
1238_at	MAPK9	mitogen-activated protein kinase 9	MAPK9	5601	U09759
1239_s_at	CASP2	caspase 2	CASP2	835	U13021
123_at	PRKD1	protein kinase D1	PRKD1	5587	X75756
1240_at	CASP2	caspase 2	CASP2	835	U13022
1241_at	PTP4A2	protein tyrosine phosphatase type IVA, member 2	PTP4A2	8073	U14603
1242_at	ERF	ETS2 repressor factor	ERF	2077	U15655
1243_at	DDB2	damage specific DNA binding protein 2	DDB2	1643	U18300
1244_at	STAT2	signal transducer and activator of transcription 2	STAT2	6773	U18671
1245_i_at	PAK2	p21 (RAC1) activated kinase 2	PAK2	5062	U25975
1246_at	PTPRS	protein tyrosine phosphatase, receptor type S	PTPRS	5802	U35234
1247_g_at	PTPRS	protein tyrosine phosphatase, receptor type S	PTPRS	5802	U35234
1248_at	POLR2H	RNA polymerase II subunit H	POLR2H	5437	U37689
1249_at	GAB1	GRB2 associated binding protein 1	GAB1	2549	U43885
1250_at	PRKDC	protein kinase, DNA-activated, catalytic polypeptide	PRKDC	5591	U47077
1251_g_at	RAP1GAP	RAP1 GTPase activating protein	RAP1GAP	5909	M64788
1252_at	REEP5	receptor accessory protein 5	REEP5	7905	M73547
1253_at	GSK3B	glycogen synthase kinase 3 beta	GSK3B	2932	L33801
1254_at	GUCA1A	guanylate cyclase activator 1A	GUCA1A	2978	L36861
1255_g_at	GUCA1A	guanylate cyclase activator 1A	GUCA1A	2978	L36861
1256_at	PTPRD	protein tyrosine phosphatase, receptor type D	PTPRD	5789	L38929
1257_s_at	QSOX1	quiescin sulfhydryl oxidase 1	QSOX1	5768	L42379
1258_s_at	ERCC4	ERCC excision repair 4, endonuclease catalytic subunit	ERCC4	2072	L76568
1259_at	ZNF23	zinc finger protein 23	ZNF23	7571	L76568
1260_s_at	GSTA3	glutathione S-transferase alpha 3///glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	GSTA3///GSTA2///GSTA1	2940///2939///2938	M16594
1261_i_at	GSTA2	glutathione S-transferase alpha 2///glutathione S-transferase alpha 1	GSTA2///GSTA1	2939///2938	M16594
1262_s_at	TGFB2	transforming growth factor beta 2	TGFB2	7042	M19154
1263_at	IL3	interleukin 3	IL3	3562	M20137
1264_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2	PTPN2	5771	M25393
1265_g_at	PTPN2	protein tyrosine phosphatase, non-receptor type 2	PTPN2	5771	M25393
1266_s_at	LCK	LCK proto-oncogene, Src family tyrosine kinase	LCK	3932	AH002862
1267_at	PRKCH	protein kinase C eta	PRKCH	5583	M55284
1268_at	UBA1	ubiquitin like modifier activating enzyme 1	UBA1	7317	M58028
1269_at	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	PIK3R1	5295	M61906
126_s_at	SSX2B	SSX family member 2B///SSX family member 4B///SSX family member 4///SSX family member 2	SSX2B///SSX4B///SSX4///SSX2	727837///548313///6759///6757	X79200
1270_at	RAP1GAP	RAP1 GTPase activating protein	RAP1GAP	5909	M64788
1271_g_at	RELA	RELA proto-oncogene, NF-kB subunit	RELA	5970	L19067
1272_at	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma	EIF2S3	1968	L19161
1273_r_at	CDC34	cell division cycle 34	CDC34	997	L22005
1274_s_at	CDC34	cell division cycle 34	CDC34	997	L22005
1275_at	PGGT1B	protein geranylgeranyltransferase type I subunit beta	PGGT1B	5229	L25441
1276_g_at	RBPMS	RNA binding protein with multiple splicing	RBPMS	11030	D84110
1277_at	ARHGEF16	Rho guanine nucleotide exchange factor 16	ARHGEF16	27237	D89016
1278_at	AXL	AXL receptor tyrosine kinase	AXL	558	
1279_s_at	TEN1-CDK3	TEN1-CDK3 readthrough (NMD candidate)///cyclin dependent kinase 3	TEN1-CDK3///CDK3	100529145///1018	
1280_i_at	MKNK2	MAP kinase interacting serine/threonine kinase 2	MKNK2	2872	
1281_f_at	MKNK2	MAP kinase interacting serine/threonine kinase 2	MKNK2	2872	
1282_s_at	MARK2	microtubule affinity regulating kinase 2	MARK2	2011	
1283_at	MAP3K13	mitogen-activated protein kinase kinase kinase 13	MAP3K13	9175	
1284_at	PRKD3	protein kinase D3	PRKD3	23683	
1285_at	NEK1	NIMA related kinase 1	NEK1	4750	
1286_s_at	TIGR: HG429-HT429				
1287_at	PARP1	poly(ADP-ribose) polymerase 1	PARP1	142	J03473
1288_s_at	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	EEF1A1	1915	J04617
1289_at	GSTM5	glutathione S-transferase mu 5	GSTM5	2949	L02321
128_at	CTSK	cathepsin K	CTSK	1513	X82153
1290_g_at	GSTM5	glutathione S-transferase mu 5	GSTM5	2949	L02321
1291_s_at	FGFR4	fibroblast growth factor receptor 4	FGFR4	2264	L03840
1292_at	DUSP2	dual specificity phosphatase 2	DUSP2	1844	L11329
1293_s_at	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	GPLD1	2822	L11701
1294_at	MIR5193	microRNA 5193///ubiquitin like modifier activating enzyme 7	MIR5193///UBA7	100847079///7318	L13852
1295_at	RELA	RELA proto-oncogene, NF-kB subunit	RELA	5970	L19067
1296_at	CDH15	cadherin 15	CDH15	1013	D83542
1297_at	RBPMS	RNA binding protein with multiple splicing	RBPMS	11030	D84110
1298_at	ESR1	estrogen receptor 1	ESR1	2099	X86816
1299_at	TERF2	telomeric repeat binding factor 2	TERF2	7014	X93512
129_g_at	CTSK	cathepsin K	CTSK	1513	X82153
1300_at	XRCC2	X-ray repair cross complementing 2	XRCC2	7516	Y08837
1303_at	SH3BP2	SH3 domain binding protein 2	SH3BP2	6452	AB000462
1304_at	AJ001487				AJ001487
1305_s_at	CYP4F2	cytochrome P450 family 4 subfamily F member 2///cytochrome P450 family 4 subfamily F member 3	CYP4F2///CYP4F3	8529///4051	D12620
1306_at	EIF4G1	eukaryotic translation initiation factor 4 gamma 1	EIF4G1	1981	D12686
1307_at	XPA	XPA, DNA damage recognition and repair factor	XPA	7507	D14533
1308_g_at	XPA	XPA, DNA damage recognition and repair factor	XPA	7507	D14533
1309_at	PSMB3	proteasome subunit beta 3	PSMB3	5691	D26598
